Start LPG listening ....
11100000	ð	E0
1	ð	1
11000000	ð	C0
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11110000	ð	F0
10000000	ð	80
11000000	ð	C0
11111000	ð	F8
11100000	ð	E0
11111110	ð	FE
10000000	ð	80
10000000	ð	80
11111100	ð	FC
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111000	ð	F8
11111000	ð	F8
11000000	ð	C0
11111100	ð	FC
11111110	ð	FE
11111110	ð	FE
11111100	ð	FC
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
11000000	ð	C0
11000000	ð	C0
11100000	ð	E0
10000000	ð	80
11000000	ð	C0
11111000	ð	F8
11100000	ð	E0
11111100	ð	FC
11111100	ð	FC
11110000	ð	F0
10000000	ð	80
10000000	ð	80
10000000	ð	80
11110000	ð	F0
11110000	ð	F0
10000000	ð	80
11000000	ð	C0
10	ð	2
11111110	ð	FE
10000000	ð	80
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
11111000	ð	F8
11000000	ð	C0
11111000	ð	F8
11111000	ð	F8
10000000	ð	80
11111000	ð	F8
11100000	ð	E0
11111000	ð	F8
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111000	ð	F8
11111000	ð	F8
11000000	ð	C0
11111000	ð	F8
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
100	ð	4
100000	ð	20
11111100	ð	FC
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
11110000	ð	F0
11110000	ð	F0
11000000	ð	C0
11000000	ð	C0
11100000	ð	E0
10000	ð	10
11111100	ð	FC
11110000	ð	F0
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
11000000	ð	C0
11111000	ð	F8
11100000	ð	E0
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11110000	ð	F0
10000000	ð	80
11000000	ð	C0
11100000	ð	E0
11111000	ð	F8
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
11100000	ð	E0
11111100	ð	FC
11111110	ð	FE
10000000	ð	80
11000000	ð	C0
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111000	ð	F8
11000000	ð	C0
11100000	ð	E0
11111100	ð	FC
11111000	ð	F8
